video_id,comment_text,like_count,published_at,channel_id,channel_type,title,sentiment_score,sentiment_label
UC_aajtak_vid0,Which state is this news from,404,2026-05-29T03:48:53Z,UC_aajtak,mainstream_news,Explainer: Aaj Tak Coverage #1,0.0,neutral
UC_aajtak_vid0,This channel actually does its research,324,2026-06-27T19:48:53Z,UC_aajtak,mainstream_news,Explainer: Aaj Tak Coverage #1,0.0,neutral
UC_aajtak_vid0,"Great reporting, very balanced coverage",498,2026-05-28T15:48:53Z,UC_aajtak,mainstream_news,Explainer: Aaj Tak Coverage #1,0.6249,positive
UC_aajtak_vid0,"Anchor is shouting again, unwatchable",433,2026-05-09T16:48:53Z,UC_aajtak,mainstream_news,Explainer: Aaj Tak Coverage #1,0.0,neutral
UC_aajtak_vid0,"Waste of time, no real information",312,2026-05-22T12:48:53Z,UC_aajtak,mainstream_news,Explainer: Aaj Tak Coverage #1,-0.6124,negative
UC_aajtak_vid0,First comment,418,2026-06-15T04:48:53Z,UC_aajtak,mainstream_news,Explainer: Aaj Tak Coverage #1,0.0,neutral
UC_aajtak_vid0,"Clickbait title, video says nothing new",333,2026-06-11T16:48:53Z,UC_aajtak,mainstream_news,Explainer: Aaj Tak Coverage #1,0.0,neutral
UC_aajtak_vid0,Best explainer I have seen on this topic,173,2026-06-03T02:48:53Z,UC_aajtak,mainstream_news,Explainer: Aaj Tak Coverage #1,0.6369,positive
UC_aajtak_vid0,First comment,455,2026-07-01T06:48:53Z,UC_aajtak,mainstream_news,Explainer: Aaj Tak Coverage #1,0.0,neutral
UC_aajtak_vid0,"This is so biased, disappointing",319,2026-05-10T06:48:53Z,UC_aajtak,mainstream_news,Explainer: Aaj Tak Coverage #1,-0.7367,negative
UC_aajtak_vid0,Finally someone explaining this clearly,165,2026-06-05T14:48:53Z,UC_aajtak,mainstream_news,Explainer: Aaj Tak Coverage #1,0.481,positive
UC_aajtak_vid0,Finally someone explaining this clearly,299,2026-05-20T08:48:53Z,UC_aajtak,mainstream_news,Explainer: Aaj Tak Coverage #1,0.481,positive
UC_aajtak_vid0,"Clickbait title, video says nothing new",394,2026-05-11T00:48:53Z,UC_aajtak,mainstream_news,Explainer: Aaj Tak Coverage #1,0.0,neutral
UC_aajtak_vid0,Watching this in 2026,78,2026-06-20T14:48:53Z,UC_aajtak,mainstream_news,Explainer: Aaj Tak Coverage #1,0.0,neutral
UC_aajtak_vid0,Finally someone explaining this clearly,51,2026-07-01T01:48:53Z,UC_aajtak,mainstream_news,Explainer: Aaj Tak Coverage #1,0.481,positive
UC_aajtak_vid0,"This is so biased, disappointing",399,2026-06-24T01:48:53Z,UC_aajtak,mainstream_news,Explainer: Aaj Tak Coverage #1,-0.7367,negative
UC_aajtak_vid0,"This is so biased, disappointing",167,2026-05-08T08:48:53Z,UC_aajtak,mainstream_news,Explainer: Aaj Tak Coverage #1,-0.7367,negative
UC_aajtak_vid0,Can someone summarize this in short,103,2026-06-13T13:48:53Z,UC_aajtak,mainstream_news,Explainer: Aaj Tak Coverage #1,0.0,neutral
UC_aajtak_vid0,Stop spreading fear for views,119,2026-05-04T12:48:53Z,UC_aajtak,mainstream_news,Explainer: Aaj Tak Coverage #1,-0.6597,negative
UC_aajtak_vid0,What time did this happen,70,2026-05-07T04:48:53Z,UC_aajtak,mainstream_news,Explainer: Aaj Tak Coverage #1,0.0,neutral
UC_aajtak_vid1,Thanks for the honest update on this,13,2026-06-03T19:48:53Z,UC_aajtak,mainstream_news,Crime News: Aaj Tak Coverage #2,0.7351,positive
UC_aajtak_vid1,Can someone summarize this in short,194,2026-06-29T04:48:53Z,UC_aajtak,mainstream_news,Crime News: Aaj Tak Coverage #2,0.0,neutral
UC_aajtak_vid1,"Clickbait title, video says nothing new",105,2026-05-14T06:48:53Z,UC_aajtak,mainstream_news,Crime News: Aaj Tak Coverage #2,0.0,neutral
UC_aajtak_vid1,"This is so biased, disappointing",47,2026-06-21T02:48:53Z,UC_aajtak,mainstream_news,Crime News: Aaj Tak Coverage #2,-0.7367,negative
UC_aajtak_vid1,Watching this in 2026,62,2026-06-22T12:48:53Z,UC_aajtak,mainstream_news,Crime News: Aaj Tak Coverage #2,0.0,neutral
UC_aajtak_vid1,Thanks for the honest update on this,379,2026-05-25T07:48:53Z,UC_aajtak,mainstream_news,Crime News: Aaj Tak Coverage #2,0.7351,positive
UC_aajtak_vid1,Stop spreading fear for views,212,2026-06-20T12:48:53Z,UC_aajtak,mainstream_news,Crime News: Aaj Tak Coverage #2,-0.6597,negative
UC_aajtak_vid1,Watching this in 2026,184,2026-06-02T10:48:53Z,UC_aajtak,mainstream_news,Crime News: Aaj Tak Coverage #2,0.0,neutral
UC_aajtak_vid1,"Waste of time, no real information",8,2026-07-02T06:48:53Z,UC_aajtak,mainstream_news,Crime News: Aaj Tak Coverage #2,-0.6124,negative
UC_aajtak_vid1,First comment,492,2026-05-09T15:48:53Z,UC_aajtak,mainstream_news,Crime News: Aaj Tak Coverage #2,0.0,neutral
UC_aajtak_vid1,Stop spreading fear for views,428,2026-06-28T05:48:53Z,UC_aajtak,mainstream_news,Crime News: Aaj Tak Coverage #2,-0.6597,negative
UC_aajtak_vid1,Which state is this news from,117,2026-05-19T16:48:53Z,UC_aajtak,mainstream_news,Crime News: Aaj Tak Coverage #2,0.0,neutral
UC_aajtak_vid1,"Waste of time, no real information",448,2026-06-02T18:48:53Z,UC_aajtak,mainstream_news,Crime News: Aaj Tak Coverage #2,-0.6124,negative
